,epoch,fitness_estimate,crossover_used,pop_gen_used,im_size
93,9300,31.6053268294,crossover_1,random_image_array_1,"(305,264)"
94,9400,31.5477162153,crossover_1,random_image_array_1,"(305,264)"
95,9500,31.5472334931,crossover_1,random_image_array_1,"(305,264)"
96,9600,31.5408203577,crossover_1,random_image_array_1,"(305,264)"
97,9700,31.224202003,crossover_1,random_image_array_1,"(305,264)"
98,9800,31.2005506796,crossover_1,random_image_array_1,"(305,264)"
99,9900,31.0783689394,crossover_1,random_image_array_1,"(305,264)"
100,10000,30.9854292825,crossover_1,random_image_array_1,"(305,264)"
101,10100,30.9642578994,crossover_1,random_image_array_1,"(305,264)"
102,10200,30.9434052911,crossover_1,random_image_array_1,"(305,264)"
103,10300,30.9049372537,crossover_1,random_image_array_1,"(305,264)"
104,10400,30.8728240423,crossover_1,random_image_array_1,"(305,264)"
105,10500,30.8627288663,crossover_1,random_image_array_1,"(305,264)"
106,10600,30.8412244963,crossover_1,random_image_array_1,"(305,264)"
107,10700,30.8378293824,crossover_1,random_image_array_1,"(305,264)"
108,10800,30.8377063783,crossover_1,random_image_array_1,"(305,264)"
109,10900,30.7692437232,crossover_1,random_image_array_1,"(305,264)"
110,11000,30.7456297746,crossover_1,random_image_array_1,"(305,264)"
111,11100,30.7349314591,crossover_1,random_image_array_1,"(305,264)"
112,11200,30.6807085118,crossover_1,random_image_array_1,"(305,264)"
113,11300,30.6542482402,crossover_1,random_image_array_1,"(305,264)"
114,11400,30.635966017,crossover_1,random_image_array_1,"(305,264)"
115,11500,30.5776312558,crossover_1,random_image_array_1,"(305,264)"
116,11600,30.5598217417,crossover_1,random_image_array_1,"(305,264)"
117,11700,30.5326634994,crossover_1,random_image_array_1,"(305,264)"
118,11800,30.4776413691,crossover_1,random_image_array_1,"(305,264)"
119,11900,30.4693888758,crossover_1,random_image_array_1,"(305,264)"
120,12000,30.3973754612,crossover_1,random_image_array_1,"(305,264)"
121,12100,30.3824730005,crossover_1,random_image_array_1,"(305,264)"
122,12200,30.373100983,crossover_1,random_image_array_1,"(305,264)"
123,12300,30.3718296808,crossover_1,random_image_array_1,"(305,264)"
124,12400,30.3396779232,crossover_1,random_image_array_1,"(305,264)"
125,12500,30.2904435492,crossover_1,random_image_array_1,"(305,264)"
126,12600,30.2799986955,crossover_1,random_image_array_1,"(305,264)"
127,12700,30.2197353497,crossover_1,random_image_array_1,"(305,264)"
128,12800,30.2157182044,crossover_1,random_image_array_1,"(305,264)"
129,12900,30.1962959485,crossover_1,random_image_array_1,"(305,264)"
